Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
1,Bapgo+7254,1603.012264294355,12,10.0,83.3%,1603,+12
-,Nadav253+6419,1591.144289781735,8,7.0,87.5%,1599,+20
-,doejurko+3088,1560.0046270729397,0,0.0,0.0%,1560,0
2,kaiser+8343,1535.4766260053507,16,11.0,68.8%,1561,-28
3,tofuwater+4853,1532.616840586957,22,14.0,63.6%,1581,-21
4,kayajam+9348,1528.5766898843879,29,16.0,55.2%,1529,+18
5,matemato+5004,1495.580021358146,49,26.0,53.1%,1517,+16
6,Killerstorm17+3440,1481.467014945972,17,10.0,58.8%,1565,-22
7,Cookies+3700,1480.2803826722923,20,14.0,70.0%,1501,-24
8,Jack432+6277,1469.7277116892737,23,14.0,60.9%,1473,+20
9,BennyJ+6079,1468.14260267349,24,13.0,54.2%,1553,-18
10,Led_Slash+3579,1441.6677840807877,63,30.0,47.6%,1546,+10
11,ShuShuBana+2889,1434.1279854076986,25,12.0,48.0%,1652,-16
12,oshwott2844+9258,1425.3144712878577,38,22.0,57.9%,1523,-27
13,Ctfox+5431,1422.2581580822446,13,5.0,38.5%,1471,-27
-,Pandapapst+8323,1407.0248679432946,7,4.0,57.1%,1407,+42
14,ChippZamoose+906,1406.710510597529,10,5.0,50.0%,1428,+59
15,Pliskin+7357,1400.797602878584,22,10.0,45.5%,1462,+21
-,Mouseman+7870,1387.7712137996339,1,0.0,0.0%,1429,-44
-,IMPERATOR+2570,1386.6926749601148,0,0.0,0.0%,1387,0
-,VanKaiserman+5269,1385.9639005751915,8,3.0,37.5%,1395,+48
16,cringelordirl+3838,1383.045213833517,46,17.5,38.0%,1398,+22
17,Emperia+9282,1379.6536612022123,69,30.0,43.5%,1443,-7
-,Manpanzee+265,1379.36033890245,8,4.0,50.0%,1379,+58
18,pooge+6189,1376.618086860794,15,6.0,40.0%,1421,-10
19,LucianTheFak+3697,1375.8956505128479,135,61.0,45.2%,1540,-7
-,Xar149+9374,1374.1991826007404,0,0.0,0.0%,1374,0
-,tippop+7531,1364.1645867362288,0,0.0,0.0%,1364,0
20,Antiproject+7236,1358.8129439198,25,9.0,36.0%,1408,-16
-,FrancescoBr+4009,1356.3685250739566,0,0.0,0.0%,1356,0
21,Seiza+6137,1355.9735006363976,47,13.0,27.7%,1476,-14
22,idk123+6079,1355.7988439779795,33,15.0,45.5%,1470,+21
23,FavorOfTheRabbits+9523,1354.0444677418438,20,7.0,35.0%,1378,+29
24,uFancyHUH+8404,1351.787652546573,40,14.0,35.0%,1388,-16
-,BloodMuffin+4386,1348.9582288009562,7,3.0,42.9%,1349,+57
-,mishaelh1+6045,1348.6667924397598,1,1.0,100.0%,1349,+55
25,Mossfusion+6189,1343.5342900569142,25,9.0,36.0%,1395,-16
-,BareGammon+82,1339.4739601902756,0,0.0,0.0%,1339,0
26,Kirien+375,1338.4572788614892,44,18.0,40.9%,1406,-11
27,Tricholome+4276,1337.0154879420484,30,9.0,30.0%,1366,-12
28,swiftsusan+8662,1336.9934923886372,27,8.0,29.6%,1449,-6
-,GlandorHooverstein+602,1333.3011115570064,9,4.0,44.4%,1346,-16
29,Dekiru+4451,1331.120510604369,29,11.0,37.9%,1415,+27
30,PestoEmporium+6690,1324.1391875276981,51,15.0,29.4%,1363,+13
31,Luclid+298,1323.4754516436253,26,9.0,34.6%,1365,-11
32,KeyserSoze+1044,1320.7608475143327,101,36.0,35.6%,1405,+14
-,PokerFace126+7192,1320.6894241506664,0,0.0,0.0%,1321,0
-,TimidTailwind+2597,1320.3556593863811,0,0.0,0.0%,1320,0
33,kurtfisto+6674,1320.157482248868,31,10.0,32.3%,1351,-9
-,ninjacat536+1220,1318.8564620688285,0,0.0,0.0%,1319,0
-,trollone1993+1106,1318.5380605922849,1,1.0,100.0%,1319,+53
-,time2orush+2871,1315.8810941690024,0,0.0,0.0%,1316,0
34,DemaRogue+7727,1315.1544531761888,77,30.0,39.0%,1427,+9
-,Aeliott+7118,1314.942398231695,7,3.0,42.9%,1315,+53
-,Potatosgonnacrushya+428,1312.5090234304073,6,3.0,50.0%,1313,+52
-,complexartichoke+1699,1309.8447375715757,0,0.0,0.0%,1310,0
-,Gregoola+1424,1309.3481805283113,4,3.0,75.0%,1309,+51
-,Silver+6850,1308.5565150059451,0,0.0,0.0%,1309,0
35,Scipio+8842,1307.1556273353322,33,10.0,30.3%,1335,+31
-,tjudge+8299,1306.7251152327574,4,2.0,50.0%,1332,-29
36,0thers1der+5053,1304.6162264645902,17,6.0,35.3%,1321,-8
-,vinnie+746,1304.263183913222,0,0.0,0.0%,1304,0
37,BMPerJMPer+9145,1303.5566572406337,11,4.0,36.4%,1344,-17
38,Dumbledore+1135,1303.1587483967558,170,45.0,26.5%,1325,-12
-,Aleph+9548,1302.3346885578164,0,0.0,0.0%,1302,0
-,Blurr+1887,1300.3076204586037,0,0.0,0.0%,1300,0
39,Nefkano+8780,1299.5254566770243,12,3.0,25.0%,1382,-6
40,DarthPuniceus+9605,1295.9654236318747,26,6.0,23.1%,1422,-14
41,WillRevolt+5749,1294.7923781573852,21,7.0,33.3%,1314,-11
-,gord20+7161,1292.687811758075,1,0.0,0.0%,1309,-20
-,dindane+250,1290.2839319180885,0,0.0,0.0%,1290,0
42,NadtyLite+7330,1289.6156871072924,130,33.0,25.4%,1380,-5
43,MarquiseDeGyatt+202,1288.1183227382369,43,12.0,27.9%,1288,+33
44,HobGungan+2914,1286.5797928790741,18,6.5,36.1%,1316,-13
-,AxlPrototype+5016,1282.9018445561903,0,0.0,0.0%,1283,0
45,Valzaan+3564,1282.581776827261,23,7.0,30.4%,1357,-7
46,Peppy+6321,1279.9164637766612,11,3.0,27.3%,1309,-14
-,Kmahussier+2186,1279.7758841546759,6,1.0,16.7%,1309,-21
47,Schkitz+8222,1279.369698421184,79,16.0,20.3%,1339,-4
48,1coolguy+6294,1277.7112005445454,17,4.0,23.5%,1328,+33
-,Nudraxon+7640,1277.1318107194554,0,0.0,0.0%,1277,0
-,bootle+7207,1276.72596369011,0,0.0,0.0%,1277,0
-,saintstonet+7390,1275.543243538142,0,0.0,0.0%,1276,0
-,Mcauthor+181,1274.9218525859621,4,2.0,50.0%,1298,-26
-,mrkent+9273,1274.488884362473,1,1.0,100.0%,1274,+72
-,ZachB+8726,1274.3753963810516,8,3.0,37.5%,1299,-27
49,cliuless+2304,1268.1602645063276,19,4.0,21.1%,1328,-6
50,Rabbitwarlord+1983,1266.9493832308597,26,7.0,26.9%,1424,-8
-,lazarus210,1266.3486993824315,0,0.0,0.0%,1266,0
-,Cabbage0642+3776,1266.27900896128,0,0.0,0.0%,1266,0
-,Shrek+876,1265.6613579124344,1,1.0,100.0%,1266,+63
-,Plush2+8334,1263.687557349895,1,1.0,100.0%,1264,+72
-,ShowStopperW+549,1262.9210746450412,0,0.0,0.0%,1263,0
51,Tad604+8004,1260.96453119775,41,11.0,26.8%,1463,-14
52,Tolfan,1260.442221081671,116,35.0,30.2%,1350,-6
-,Nymmer+3243,1260.3960073057647,2,1.0,50.0%,1260,+67
53,CosmicCant+3836,1258.8622343472712,20,5.0,25.0%,1281,-7
-,Mindger+7576,1257.564859579064,0,0.0,0.0%,1258,0
-,ionou21+8459,1257.408061989896,2,1.0,50.0%,1265,-11
