GameID,New_Date
47433,2026-05-14
47444,2026-05-10
47445,2026-05-10
47446,2026-05-11
47447,2026-05-12
47448,2026-05-14
47449,2026-05-15
47450,2026-05-15
47451,2026-05-16
47452,2026-05-17
47453,2026-05-17
47454,2026-05-18
47455,2026-05-19
47456,2026-05-20
47457,2026-06-20
47458,2026-06-20
47459,2026-06-21
