Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,hakoo,1225.6464615978516,3,1.0,33.3%,1262,-11
-,BuliBaka+6658,1222.60921414684,4,1.0,25.0%,1229,-11
-,TAKSpx+9156,1222.2752980200346,6,2.0,33.3%,1267,-22
-,Mcauthor+181,1222.0756766451154,4,1.0,25.0%,1241,-11
51,cringelordirl+3838,1221.8968732200278,43,9.0,20.9%,1247,-4
52,uwtron+573,1221.2771645191892,19,5.0,26.3%,1294,-11
53,NadtyLite+7330,1221.0542827853105,167,37.0,22.2%,1279,-3
54,TheDolphinman+2630,1220.765084423036,25,6.0,24.0%,1258,-13
55,Perdita+9449,1220.5500511602515,24,7.0,29.2%,1301,+33
-,Acecreamsundae+1472,1220.3288540181163,3,1.0,33.3%,1240,-25
-,GlisteningGeetus+4225,1220.3222967750426,5,2.0,40.0%,1311,-31
56,AERotters+5277,1219.9085939968384,78,20.0,25.6%,1316,+14
-,Sjepeal+9206,1219.7842356013273,4,1.0,25.0%,1220,+62
57,DemaRogue+7727,1219.193919758463,68,19.0,27.9%,1288,-5
58,Snivylover12+1064,1218.7233624884182,15,3.5,23.3%,1274,-17
59,radiantchaos+5523,1218.2425952486378,32,8.0,25.0%,1249,+25
60,ImJustExisting+9170,1215.7702297944984,17,4.5,26.5%,1287,-9
-,Oriol+2638,1213.9876325106065,4,1.0,25.0%,1262,-14
-,Bodnamax+6783,1213.7361535574405,4,1.0,25.0%,1214,+66
61,KuperMeister+8518,1211.2808294833994,11,3.0,27.3%,1253,-8
62,Ptitmxz+6986,1209.9696919704095,24,6.0,25.0%,1314,-7
-,Sirius+9323,1209.819197878262,7,2.0,28.6%,1233,+68
-,BjarkeHuse+2923,1208.9824655350196,6,2.0,33.3%,1307,-14
63,Nymmer+3243,1208.2727542743419,10,2.0,20.0%,1243,-24
-,Awesem+1966,1206.5677018876693,4,1.0,25.0%,1239,-15
-,CowOnAPlane+3405,1204.9008642624242,7,1.0,14.3%,1205,+72
64,deejaythink+9834,1204.0059309012622,10,2.0,20.0%,1239,-11
-,Karcher+6280,1203.6295332017482,4,1.0,25.0%,1250,-26
-,BMPerJMPer+9145,1198.5463976162202,32,8.0,25.0%,1428,-3
-,idk123+6079,1196.9379637134998,5,1.0,20.0%,1211,-19
-,alevGO+2990,1196.0543717039125,13,2.0,15.4%,1250,-6
-,sda1611+3493,1193.756919454477,1,0.0,0.0%,1200,-11
-,XxD4RK_W0LFxX+9534,1193.2712486696112,1,0.0,0.0%,1200,-11
-,Axolatal,1192.5179856945115,1,0.0,0.0%,1200,-12
-,FausDav+5901,1191.8592810652078,5,1.0,20.0%,1239,-8
-,deriokle+4319,1191.7637868157015,1,0.0,0.0%,1200,-13
-,SMenefee+4066,1191.488715645794,1,0.0,0.0%,1200,-13
-,MisterGume+9687,1190.3253772554215,1,0.0,0.0%,1200,-14
-,Olymp+9823,1190.3093137960122,1,0.0,0.0%,1200,-14
-,ConeMan+3213,1190.050746188859,1,0.0,0.0%,1200,-14
-,IndifferentFish+2547,1190.0458485605022,1,0.0,0.0%,1200,-14
-,bigcathedral+1133,1189.9384857616042,1,0.0,0.0%,1200,-15
-,ChusGG+6807,1189.635703503322,1,0.0,0.0%,1200,-15
-,GameProfit+8226,1189.4885048583315,1,0.0,0.0%,1200,-15
-,GamerTower+410,1189.2771505101919,1,0.0,0.0%,1200,-15
-,Mati92+4633,1189.2290269633493,5,1.0,20.0%,1239,-14
-,Plush2+8334,1189.018950744014,1,0.0,0.0%,1200,-15
-,shurgs+6277,1188.970425915199,1,0.0,0.0%,1200,-16
-,StatzoryTheMad+7951,1188.5286138675124,1,0.0,0.0%,1200,-16
-,sedlak87+8418,1188.2332090003858,1,0.0,0.0%,1200,-16
-,vanillapoppy+9303,1188.0547892886443,1,0.0,0.0%,1200,-16
-,secretpaths+8130,1187.997177978153,20,4.0,20.0%,1208,+33
