Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,aelisheneithlon+4087,1253.593350503981,0,0.0,0.0%,1254,0
56,Dramsss+3,1253.3260134491695,57,16.0,28.1%,1413,-5
57,Jasiuńcio+3892,1253.1053544429813,15,4.0,26.7%,1284,+28
-,pizzamagican+4983,1252.3132788220682,2,1.0,50.0%,1252,+69
58,Wubba+9310,1249.4055094189519,49,13.0,26.5%,1316,-10
-,Vagabond Glazer+6268,1249.1472404764397,1,0.0,0.0%,1259,-12
-,Jalapeno+9238,1248.7037194918282,8,3.0,37.5%,1343,-16
59,AERotters+5277,1247.1032991799623,94,25.0,26.6%,1310,-5
60,Waferseeker95+4351,1245.662718720954,29,9.0,31.0%,1365,-5
-,pwarren8590+4047,1245.6495235516177,0,0.0,0.0%,1246,0
-,ToasterTrash+8502,1243.706926251129,0,0.0,0.0%,1244,0
-,KarmaBurn+1193,1243.3661857525458,0,0.0,0.0%,1243,0
61,MagZeppelin+4248,1241.086258504252,50,12.0,24.0%,1319,-9
-,Mohammad+8142,1239.7859307884908,0,0.0,0.0%,1240,0
-,Napalminthebirdsong+5528,1238.9965425640507,0,0.0,0.0%,1239,0
-,Cotton+4951,1237.3913785115467,3,1.0,33.3%,1250,-15
62,DanzigMF+6351,1235.1476031297,28,7.0,25.0%,1280,-9
-,KuperMeister+8518,1233.7996683059541,4,1.0,25.0%,1286,-17
-,Ptitmxz+6986,1233.5922969374274,4,1.0,25.0%,1254,-23
-,Furry0329+6442,1233.4700751766636,1,0.0,0.0%,1238,-8
-,weirdone+8473,1232.8441041457552,5,2.0,40.0%,1233,+61
-,Octavius+8289,1232.6305707118345,0,0.0,0.0%,1233,0
63,Led_Slash+3579,1232.3088648658288,47,14.0,29.8%,1546,+33
64,CowOnAPlane+3405,1231.1297198260224,60,14.0,23.3%,1282,-4
-,udon66+6395,1229.920120072325,0,0.0,0.0%,1230,0
65,fadingnovel+7335,1227.7412089451739,21,4.0,19.0%,1322,-7
-,HungryJeff+6786,1227.3822089507223,1,1.0,100.0%,1227,+64
-,hakoo,1225.6464615978516,0,0.0,0.0%,1226,0
-,RustySpruce+2483,1223.3104450025253,3,1.0,33.3%,1266,-17
-,BuliBaka+6658,1222.60921414684,0,0.0,0.0%,1223,0
-,TAKSpx+9156,1222.2752980200346,0,0.0,0.0%,1222,0
-,KFull+1226,1222.034035352806,9,1.0,11.1%,1372,-24
-,uwtron+573,1221.2771645191892,0,0.0,0.0%,1221,0
-,TheDolphinman+2630,1220.765084423036,0,0.0,0.0%,1221,0
-,Perdita+9449,1220.5500511602515,0,0.0,0.0%,1221,0
-,Musicalwoofy+7712,1220.5414472337632,6,2.0,33.3%,1228,-10
-,Acecreamsundae+1472,1220.3288540181163,0,0.0,0.0%,1220,0
-,GlisteningGeetus+4225,1220.3222967750426,0,0.0,0.0%,1220,0
-,Sjepeal+9206,1219.7842356013273,0,0.0,0.0%,1220,0
-,Bengal3+6710,1219.0204749184297,2,0.0,0.0%,1247,-10
66,Niruu+622,1217.2832431398324,63,17.0,27.0%,1343,-5
-,Hydro033+5014,1217.2337228843016,1,0.0,0.0%,1235,-20
