Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
31,kurtfisto+6674,1299.6919866161984,31,10.0,32.3%,1329,-9
32,DemaRogue+7727,1299.672284819242,77,30.0,39.0%,1409,+10
-,VanKaiserman+5269,1297.585997105041,8,3.0,37.5%,1298,+56
33,Scipio+8842,1294.68029250395,33,10.0,30.3%,1318,+30
34,Dumbledore+1135,1292.0075623197984,170,45.0,26.5%,1312,-11
35,BMPerJMPer+9145,1290.4468441927704,11,4.0,36.4%,1329,-16
36,HobGungan+2914,1288.44572092256,18,6.5,36.1%,1317,-14
37,Tricholome+4276,1284.5717037681798,30,9.0,30.0%,1301,-10
-,Gabobs+7758,1284.149457371089,7,3.0,42.9%,1304,-24
38,Mossfusion+6189,1284.0831265420097,25,9.0,36.0%,1325,-15
39,WillRevolt+5749,1282.402665714606,21,7.0,33.3%,1304,-11
40,MarquiseDeGyatt+202,1277.9509844087984,43,12.0,27.9%,1278,+32
41,Peppy+6321,1277.419346779476,11,3.0,27.3%,1308,-15
-,mrkent+9273,1275.3387376565092,1,1.0,100.0%,1275,+72
-,Plush2+8334,1267.0693814351525,1,1.0,100.0%,1267,+63
-,Shrek+876,1266.2971075486134,1,1.0,100.0%,1266,+62
-,mishaelh1+6045,1266.2394212444317,1,1.0,100.0%,1266,+62
-,HungryJeff+6786,1263.8496054392776,1,1.0,100.0%,1264,+60
-,trollone1993+1106,1263.8277631450032,1,1.0,100.0%,1264,+60
-,Mcauthor+181,1263.5531085879115,4,2.0,50.0%,1285,-25
-,weirdone+8473,1263.1345005555024,5,2.0,40.0%,1263,+57
-,ZachB+8726,1262.9716177373118,8,3.0,37.5%,1288,-29
42,Valzaan+3564,1261.525362932726,23,7.0,30.4%,1325,-9
43,NadtyLite+7330,1260.322483833458,130,33.0,25.4%,1332,-5
-,ionou21+8459,1254.9075847331685,2,1.0,50.0%,1265,-14
44,Tolfan,1253.642779419141,116,35.0,30.2%,1336,-6
-,CommonGibbon+5852,1253.5574225598514,3,1.5,50.0%,1279,-30
-,Nymmer+3243,1253.066721276738,2,1.0,50.0%,1253,+67
-,ominouscat+4065,1252.1665493479227,1,1.0,100.0%,1252,+48
-,tjudge+8299,1251.2705140739783,4,2.0,50.0%,1271,-23
45,swiftsusan+8662,1248.234301617107,27,8.0,29.6%,1311,-8
-,pizzamagican+4983,1248.0054183023735,2,1.0,50.0%,1248,+63
-,Lambo+7524,1246.323412419889,2,1.0,50.0%,1264,-21
46,MylesMoose+6850,1244.4038105772397,15,5.0,33.3%,1244,+30
-,Musicalwoofy+7712,1240.76502230575,6,2.0,33.3%,1256,-12
47,Schkitz+8222,1239.6484288451484,79,16.0,20.3%,1294,-4
48,AcolyteOfRoot+4294,1238.7725487952493,12,3.0,25.0%,1291,-12
49,SlickAngel+9821,1238.5901695001592,23,7.0,30.4%,1258,+30
50,chibimori+1707,1235.9058994373804,15,4.0,26.7%,1307,-10
-,Cotton+4951,1235.1551883498369,3,1.0,33.3%,1248,-17
51,DarthPuniceus+9605,1232.4918495836127,26,6.0,23.1%,1307,-12
52,Dramsss+3,1231.7727961654427,57,16.0,28.1%,1386,-6
53,Waferseeker95+4351,1231.4767540366252,30,9.0,30.0%,1362,-10
54,CosmicCant+3836,1229.9672804196673,20,5.0,25.0%,1250,-7
55,Jasiuńcio+3892,1229.3862788162453,15,4.0,26.7%,1281,+28
56,1coolguy+6294,1226.6421602020273,17,4.0,23.5%,1241,+34
57,MagZeppelin+4248,1225.4136947590644,53,12.0,22.6%,1316,-5
58,Wubba+9310,1224.4353091043972,50,13.0,26.0%,1312,-10
59,lumpyprol+3206,1224.2102623716403,47,11.0,23.4%,1263,-12
60,Tad604+8004,1223.7922221128333,41,11.0,26.8%,1291,-12
-,Hadjiya+4475,1220.4665011752643,7,2.0,28.6%,1286,-27
-,Ptitmxz+6986,1219.1696030015946,4,1.0,25.0%,1239,-24
-,KuperMeister+8518,1219.1584023310922,4,1.0,25.0%,1271,-17
61,Nefkano+8780,1218.7209472117586,12,3.0,25.0%,1276,-6
-,RustySpruce+2483,1217.9786455222534,3,1.0,33.3%,1265,-20
62,Rabbitwarlord+1983,1217.279686086196,26,7.0,26.9%,1325,-7
-,Jalapeno+9238,1215.13159971347,9,3.0,33.3%,1336,-23
-,WyvernElement+1816,1214.7817701973647,4,1.0,25.0%,1261,-17
-,LHlegend+5313,1214.597958927037,3,1.0,33.3%,1254,-24
63,DanzigMF+6351,1214.4324504698607,28,7.0,25.0%,1262,-11
-,StatzoryTheMad+7951,1210.7738067314933,4,1.0,25.0%,1230,-23
64,CowOnAPlane+3405,1209.4067883517582,60,14.0,23.3%,1256,-4
-,PacificCold+7409,1208.442242584775,4,1.0,25.0%,1230,-26
65,Niruu+622,1207.0477584500559,63,17.0,27.0%,1333,-5
-,Daz257+7505,1206.3298055183104,5,1.0,20.0%,1206,+62
66,fadingnovel+7335,1205.8326339868613,21,4.0,19.0%,1303,-7
-,StoneOfShame+5048,1205.7205717146796,5,1.0,20.0%,1206,+67
-,BetterPools+6450,1205.3295884345323,4,1.0,25.0%,1261,-14
-,ellbelle+9011,1203.688226603036,4,1.0,25.0%,1261,-14
67,cliuless+2304,1203.4913830437374,19,4.0,21.1%,1271,-5
68,MunkeyBrewster+2527,1202.8512257586174,10,2.0,20.0%,1226,+62
-,Alexispc+6921,1200.8389703058037,4,1.0,25.0%,1247,-29
-,Temperz87+4696,1199.237499326864,9,2.0,22.2%,1215,-20
-,NaySmith+3702,1199.0013953078867,4,1.0,25.0%,1261,-24
-,AERotters+5277,1198.5643727423715,105,25.0,23.8%,1264,-5
-,FamilyTuber+3701,1197.2174035686603,6,1.0,16.7%,1203,-10
-,Kmahussier+2186,1195.2059994678089,6,1.0,16.7%,1208,-16
-,ColPop+9146,1193.5768393758526,18,4.0,22.2%,1338,-7
-,kamomileTea+4472,1193.5119629251212,1,0.0,0.0%,1200,-10
-,evancomposer+2898,1193.0684035381435,1,0.0,0.0%,1200,-11
-,Tagatu+7056,1192.7202082944607,6,1.0,16.7%,1200,-10
-,Furry0329+6442,1192.283544999877,1,0.0,0.0%,1200,-12
-,pheobii+5175,1191.9487161417037,11,2.0,18.2%,1201,-7
-,Vagabond Glazer+6268,1191.313624556329,1,0.0,0.0%,1200,-13
-,ExecutedByGromp+3925,1191.0985084202307,1,0.0,0.0%,1200,-13
-,tobin+8390,1190.6774961983783,1,0.0,0.0%,1200,-13
-,Anton+562,1190.6482474564957,1,0.0,0.0%,1200,-13
-,halzyen+4113,1190.567926028927,1,0.0,0.0%,1200,-13
-,gord20+7161,1190.5590543076783,1,0.0,0.0%,1200,-13
-,Xerof+7582,1190.4880101036758,1,0.0,0.0%,1200,-13
-,QuixArtagnan+7824,1190.42336824455,1,0.0,0.0%,1200,-13
-,Yojimbo+9872,1190.2670029848227,1,0.0,0.0%,1200,-14
-,Cutoopen+2335,1190.220328949542,1,0.0,0.0%,1200,-14
-,LittleHalo+9882,1189.5150670832606,1,0.0,0.0%,1200,-14
-,Karcher+6280,1189.50001956933,4,1.0,25.0%,1239,-19
-,ArionGekkota+7361,1189.3088818939484,1,0.0,0.0%,1200,-15
-,Mariv+2352,1189.2375197758565,1,0.0,0.0%,1200,-15
-,Blank+7029,1189.1233877557145,1,0.0,0.0%,1200,-15
-,fbd117+324,1189.0548170984293,12,3.0,25.0%,1309,-4
-,Bjoda+2731,1188.833644379218,1,0.0,0.0%,1200,-15
-,Starcore6+817,1188.6857393132436,1,0.0,0.0%,1200,-15
-,ConeMan+3213,1188.6857393132436,1,0.0,0.0%,1200,-15
-,bigcathedral+1133,1188.4728587462548,1,0.0,0.0%,1200,-15
-,Aceosd+1686,1188.4085747668523,1,0.0,0.0%,1200,-15
-,Traestaree+7134,1188.2296422364932,1,0.0,0.0%,1200,-16
-,ToughHazelnut+1523,1188.139976807685,6,1.0,16.7%,1209,-13
-,CocoMocoMan+3134,1187.5724435517864,1,0.0,0.0%,1200,-16
-,Sharkskln+6071,1187.3950559905888,1,0.0,0.0%,1200,-16
-,LittleHalo+9982,1187.3947627127236,1,0.0,0.0%,1200,-16
-,DarkOwl+5198,1187.310867967525,1,0.0,0.0%,1200,-17
-,ChrD99+1022,1186.5647346038477,1,0.0,0.0%,1200,-17
-,RiverKawaii+4578,1186.4158902411561,1,0.0,0.0%,1200,-17
-,BaconBoy+9689,1186.1366101837,6,1.0,16.7%,1200,-13
-,CWise+6651,1185.7541554195548,1,0.0,0.0%,1200,-18
-,balonthebold+1851,1185.7323157312496,1,0.0,0.0%,1200,-18
-,Hasan+1782,1185.4657733071076,1,0.0,0.0%,1200,-18
-,DanielDandaniel+7434,1185.4657733071076,1,0.0,0.0%,1200,-18
-,Rhyno+5128,1185.4229701510903,1,0.0,0.0%,1200,-18
-,Mouseman+7870,1184.8838724232614,1,0.0,0.0%,1200,-19
-,BLULOBSTR+1510,1184.698152114047,1,0.0,0.0%,1200,-19
-,Quisyo+8653,1184.6963904192912,2,0.0,0.0%,1200,-10
-,Lobster+5525,1184.6823917832155,1,0.0,0.0%,1200,-19
-,Hammad+766,1184.6726677154554,1,0.0,0.0%,1200,-19
-,TurtleJawz+3309,1184.4161150417199,1,0.0,0.0%,1200,-19
-,GuyNXS+7023,1184.205180441618,1,0.0,0.0%,1200,-20
-,Azdontek+1234,1184.0293702336937,1,0.0,0.0%,1200,-20
-,Welllll+4899,1184.0293702336937,1,0.0,0.0%,1200,-20
-,Whats02+5282,1183.8277631450032,1,0.0,0.0%,1200,-20
-,yoyot1+5057,1183.3998955897061,2,0.0,0.0%,1200,-8
-,Akriuss+573,1183.31003479331,1,0.0,0.0%,1200,-21
-,StellarHermit+3326,1183.2119885995496,1,0.0,0.0%,1200,-21
-,Vitsky+1201,1182.9641529647754,1,0.0,0.0%,1200,-21
-,StrikeOrca+4455,1182.9127704534649,1,0.0,0.0%,1200,-21
-,FatBoyyy+6258,1182.872439806229,1,0.0,0.0%,1200,-21
-,sasquatch+9509,1182.8323261328458,1,0.0,0.0%,1200,-21
-,marksoz00+1780,1182.3711603398008,6,1.0,16.7%,1234,-17
-,SimulatedBeehive+1517,1182.3600614955942,1,0.0,0.0%,1200,-21
-,Podge0303+8578,1182.0008845999419,1,0.0,0.0%,1200,-22
-,FireFox+7079,1181.9963660198825,1,0.0,0.0%,1200,-22
-,Roldan+1152,1181.9173868523276,1,0.0,0.0%,1200,-22
-,GamerTower+410,1181.8973627462904,1,0.0,0.0%,1200,-22
-,MelodiCat+8385,1181.7389708764663,1,0.0,0.0%,1200,-22
-,CaptainBork+7195,1181.574584754657,1,0.0,0.0%,1200,-22
-,stxr444+8143,1181.0223866215838,1,0.0,0.0%,1200,-23
-,FakeSki+4232,1180.6774224839692,13,2.0,15.4%,1222,-5
-,scaled+326,1179.78730370183,1,0.0,0.0%,1200,-24
-,2eaasley+6663,1179.7499122069362,1,0.0,0.0%,1200,-24
-,aaronmaik88+3890,1179.7499122069362,1,0.0,0.0%,1200,-24
-,Oriol+2638,1179.570255510317,1,0.0,0.0%,1200,-24
-,Fluffy+189,1179.3259843354085,1,0.0,0.0%,1200,-25
-,Harriet+1445,1177.4962058834992,5,1.0,20.0%,1258,-17
-,Rootenthusiast+6637,1176.6832923241682,1,0.0,0.0%,1200,-27
-,KyloBot+6508,1176.6448541179702,8,2.0,25.0%,1311,-25
-,Nierxlelx+7709,1176.2146762903642,1,0.0,0.0%,1200,-28
-,sleepylabone+1003,1174.2566140966803,2,0.0,0.0%,1200,-13
-,pigdog+4355,1173.8147719660765,7,1.0,14.3%,1217,-12
-,RedPanda+336,1173.7769087431595,1,0.0,0.0%,1200,-30
-,TenchRinggold+1755,1173.6495172362634,2,0.0,0.0%,1200,-12
-,Lufire+7855,1173.5841743929943,2,0.0,0.0%,1200,-14
-,Supersingalong+6545,1173.4151495678198,2,0.0,0.0%,1200,-18
-,Intraceptor+5437,1173.3474480108962,16,3.0,18.8%,1263,-10
-,kesitron+187,1172.8278420683478,2,0.0,0.0%,1200,-14
-,Bengal3+6710,1172.6957852275814,2,0.0,0.0%,1200,-13
-,wherestonks+4878,1172.1409818162329,2,0.0,0.0%,1200,-21
-,MoxJet+3716,1171.3551843651162,2,0.0,0.0%,1200,-12
-,KargDemiau+7823,1171.0766789571926,2,0.0,0.0%,1200,-18
-,PajaroTronador+9221,1170.91611558739,2,0.0,0.0%,1200,-21
-,Dandel+3128,1170.8279814533785,59,11.0,18.6%,1200,-4
-,Hazelnut19+2913,1170.0663433719574,2,0.0,0.0%,1200,-13
-,Darkwonderer+1035,1169.7406563806146,7,1.0,14.3%,1215,-13
-,Elijah+6615,1169.5006788127503,2,0.0,0.0%,1200,-20
-,Rabbi+7,1169.1249128278184,2,0.0,0.0%,1200,-20
-,nyosh8484+1627,1169.0823688422336,2,0.0,0.0%,1200,-9
-,Hossain2020+1837,1168.7816062011484,2,0.0,0.0%,1200,-14
-,Hydro033+5014,1168.7585700492566,2,0.0,0.0%,1200,-17
-,Youdge+8117,1167.6728079278682,13,2.0,15.4%,1289,-5
-,Nickpappa+2149,1167.1951092373279,2,0.0,0.0%,1200,-17
-,BaliHoo+3674,1167.1222516453386,2,0.0,0.0%,1200,-18
-,TheSillyBilly+6135,1166.5930129949547,2,0.0,0.0%,1200,-17
-,IndifferentFish+2547,1165.5450456875205,12,1.5,12.5%,1200,-6
-,Lifeye+4414,1165.4855201745888,2,0.0,0.0%,1200,-19
-,buurn+343,1164.860636854638,65,9.0,13.8%,1225,-3
-,tunnndz+4720,1163.6730506581782,10,2.0,20.0%,1224,-17
-,Xman1997+3777,1163.0910222448344,2,0.0,0.0%,1200,-21
-,creapy01+439,1161.706455562067,2,0.0,0.0%,1200,-24
-,optimusprawn+9866,1161.625204867663,3,0.0,0.0%,1200,-13
-,BoMa85+9812,1160.8989818886168,3,0.0,0.0%,1200,-14
-,Blepblep+6970,1160.8539138921303,2,0.0,0.0%,1200,-26
-,DevilUnfiltered+380,1159.3887596120355,2,0.0,0.0%,1200,-20
-,XxD4RK_W0LFxX+9534,1157.6977360340652,3,0.0,0.0%,1200,-5
-,RaveAnt+1236,1157.597105675642,3,0.0,0.0%,1200,-10
-,Hurple+6007,1157.5109171817303,3,0.0,0.0%,1200,-6
-,benssoon+802,1157.4853971353125,3,0.0,0.0%,1200,-11
-,Evenorodds+2809,1157.4634773372245,3,0.0,0.0%,1200,-18
-,kingslime+8836,1157.3643949051234,3,0.0,0.0%,1200,-17
-,Gaborever+8187,1157.258691983576,3,0.0,0.0%,1200,-15
-,BadScra+3199,1156.5221555736164,49,9.0,18.4%,1241,-7
-,Snivylover12+1064,1156.323189541811,29,5.0,17.2%,1296,+34
-,MinePokemine+7899,1155.8149081142767,8,1.0,12.5%,1244,-7
-,BigHat+3791,1155.3268125353786,3,0.0,0.0%,1200,-8
-,Odinius+897,1153.8990899344433,18,3.0,16.7%,1268,-7
-,Thanhdat+1146,1152.6713567887493,3,0.0,0.0%,1200,-24
-,Skumfi+5761,1150.32584608507,4,0.0,0.0%,1200,-15
-,Fenetix+9243,1150.0853508731018,4,0.0,0.0%,1200,-10
-,ZimaBlue+5729,1146.313081794289,3,0.0,0.0%,1200,-19
-,sontei5+3678,1146.3067274174764,4,0.0,0.0%,1200,-12
-,eef99+8799,1145.7747660843656,4,0.0,0.0%,1200,-13
-,mouseinabox+992,1144.5528832102198,127,20.0,15.7%,1200,-3
-,radiantchaos+5523,1144.4823417476991,23,3.0,13.0%,1259,-4
-,Yucca+8041,1143.0732603384304,4,0.0,0.0%,1200,-13
-,PlagueCarrier+5718,1142.90543464452,30,5.0,16.7%,1239,-5
-,Extortionator+4951,1142.4635026877459,16,2.0,12.5%,1296,-7
-,TonyDeloreanESQ+4756,1142.2205772132295,46,7.0,15.2%,1204,-8
-,deejaythink+9834,1141.3970572646347,31,6.0,19.4%,1305,-6
-,Sirius+9323,1140.6797863711656,6,0.5,8.3%,1200,-11
-,Fearteiler+8050,1140.0112035186266,12,1.0,8.3%,1200,-6
-,sourdoh+5225,1138.039202555764,11,1.0,9.1%,1200,-5
-,DGDKami+9860,1135.2864727211931,4,0.0,0.0%,1200,-11
-,LutherStr+1358,1132.9498674215536,12,1.0,8.3%,1254,-5
-,DarkPortents+1248,1131.9425040568153,4,0.0,0.0%,1200,-18
-,polyphemur+3699,1131.7462500545837,29,5.0,17.2%,1200,-8
-,KFull+1226,1131.0090425345913,9,1.0,11.1%,1238,-16
-,darkcat+794,1129.7708415971906,4,0.0,0.0%,1200,-14
-,AxelMcKenzie+19,1128.4977630199471,4,0.0,0.0%,1200,-19
-,PeskyPaul+5583,1128.4315408872728,7,0.5,7.1%,1200,+26
-,legrandgrand+9040,1128.0387723482158,5,0.0,0.0%,1200,-14
-,anoretu+9881,1123.7316251472082,5,0.0,0.0%,1200,-8
-,Viggs+9470,1123.6505780548516,5,0.0,0.0%,1200,-8
-,Awesem+1966,1123.1552609743026,5,0.0,0.0%,1200,-18
-,rhino+3915,1121.3709406921705,6,0.0,0.0%,1200,-22
-,EarlofEarl+908,1120.6087897128943,5,0.0,0.0%,1200,-17
-,Bitto+476,1120.2282173114318,13,1.0,7.7%,1261,-6
-,HeatBeats+9767,1119.332321939237,6,0.0,0.0%,1200,-13
-,rathyAro+1512,1119.138631710333,10,1.0,10.0%,1202,-15
-,HollyKat902+1703,1118.2226980352596,8,1.0,12.5%,1240,-22
-,Tseka+4826,1116.7171550509834,5,0.0,0.0%,1200,-15
-,budynzsmalcem+3790,1114.7643777976875,18,2.0,11.1%,1200,-5
-,strypeez+6330,1114.3099752467751,15,1.0,6.7%,1201,-4
-,Ultcyber+1551,1105.9629878021449,22,2.0,9.1%,1227,-7
-,TheFourthJesse+9103,1102.5979311816845,40,5.0,12.5%,1290,-6
-,Banzai7000+1191,1100.2853527907766,9,0.5,5.6%,1200,-13
-,NightTsuki+7092,1094.7247389393256,7,0.0,0.0%,1200,-9
-,Piechu+7320,1093.8305635954825,36,5.0,13.9%,1298,-5
-,amjohnson636+3986,1091.3169856257443,7,0.0,0.0%,1200,-14
-,HowDoYouDrew+716,1089.3169072851567,13,1.0,7.7%,1258,-4
-,ermactually+9395,1088.615793338184,22,2.5,11.4%,1224,-3
-,voltigeur+3314,1087.5196768017,9,0.0,0.0%,1200,-8
-,Maladay+6079,1086.0301794953627,8,0.0,0.0%,1200,-15
-,Fabius+5370,1083.4450457473145,16,1.0,6.2%,1246,-6
-,nutrimentia+2965,1082.5783876124724,9,0.0,0.0%,1200,-10
-,Diyana+933,1081.9367006313498,12,0.0,0.0%,1200,-3
-,DarthOblivius+1339,1081.5793826120828,75,10.0,13.3%,1340,-2
-,DawnDiVito+5802,1080.2463510824978,24,2.0,8.3%,1200,-5
-,TurkeyNoNo+9522,1069.7268988810852,31,2.0,6.5%,1200,-5
-,Nate-inator+8253,1069.7221956011642,10,0.0,0.0%,1200,-10
-,Wrestler+3756,1063.4000016293064,15,0.0,0.0%,1200,-4
-,RangerEpic+3948,1063.0496666416002,19,1.0,5.3%,1201,-7
-,cjahwon+6865,1060.8230251667997,87,8.0,9.2%,1200,-4
-,Durian+959,1050.7437194999263,17,0.0,0.0%,1200,-2
-,DelSol+6479,1047.0804247778167,26,1.0,3.8%,1200,-4
-,alevGO+2990,1046.3010652321168,17,0.0,0.0%,1200,-4
-,blasonmyphemous+8394,1041.7331422623786,15,0.0,0.0%,1200,-4
-,Knightochan+8069,1041.718960366408,17,0.0,0.0%,1200,-4
-,Ljaz7+6925,1040.200143358806,18,0.0,0.0%,1200,-5
-,Shrimpster+8461,1037.8310497543582,21,0.0,0.0%,1200,-3
-,DrCheeseFiend+3515,1037.3299430362529,18,0.0,0.0%,1200,-5
-,Munchking+5998,1025.669863793996,26,0.5,1.9%,1200,-6
-,alex0+3804,1010.921138547484,23,0.0,0.0%,1200,-2
-,RootiredRooter+4390,1010.4093130848332,26,0.0,0.0%,1200,-3
-,Wriggleroom+4502,988.1445459836709,40,0.5,1.2%,1200,-2
