Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
1,Bapgo+7254,1531.046213672093,12,10.0,83.3%,1531,+16
2,kaiser+8343,1488.4403353133303,16,11.0,68.8%,1510,-26
-,Nadav253+6419,1478.9298487507808,8,7.0,87.5%,1479,+33
3,kayajam+9348,1469.4484741103618,29,16.0,55.2%,1469,+21
4,matemato+5004,1464.1123279403428,49,26.0,53.1%,1469,+19
5,Cookies+3700,1463.678814437819,20,14.0,70.0%,1483,-24
6,tofuwater+4853,1454.967607321283,22,14.0,63.6%,1489,-19
7,Jack432+6277,1452.183824848605,23,14.0,60.9%,1455,+20
8,BennyJ+6079,1427.2680530474086,24,13.0,54.2%,1519,-18
9,oshwott2844+9258,1419.4578979329897,38,22.0,57.9%,1515,-26
10,Led_Slash+3579,1418.7364453554983,63,30.0,47.6%,1499,+10
11,Killerstorm17+3440,1414.405230828938,17,10.0,58.8%,1437,-19
-,Manpanzee+265,1367.9485301808313,8,4.0,50.0%,1368,+57
-,Pandapapst+8323,1362.3637241689564,7,4.0,57.1%,1362,+42
12,cringelordirl+3838,1359.2205510010417,46,17.5,38.0%,1375,+22
13,ShuShuBana+2889,1358.0225169034682,25,12.0,48.0%,1520,-14
14,LucianTheFak+3697,1346.931690535075,135,61.0,45.2%,1485,-6
15,ChippZamoose+906,1345.8836422353568,10,5.0,50.0%,1351,+62
16,Emperia+9282,1345.5700674666805,69,30.0,43.5%,1401,-7
17,idk123+6079,1345.4550136997257,33,15.0,45.5%,1470,+21
18,Pliskin+7357,1345.1457977262112,22,10.0,45.5%,1355,+24
-,BloodMuffin+4386,1338.3229990715395,7,3.0,42.9%,1338,+56
19,Kirien+375,1333.9267467119664,44,18.0,40.9%,1399,-11
20,uFancyHUH+8404,1332.1718776846847,40,14.0,35.0%,1369,-15
21,Ctfox+5431,1329.566340967206,13,5.0,38.5%,1368,-22
22,pooge+6189,1326.3638837306507,15,6.0,40.0%,1355,-9
-,Gregoola+1424,1324.9434937001292,4,3.0,75.0%,1325,+50
-,GlandorHooverstein+602,1319.2796249925502,9,4.0,44.4%,1339,-24
23,Antiproject+7236,1311.4650896490764,25,9.0,36.0%,1331,-14
24,Dekiru+4451,1310.7946539325758,29,11.0,37.9%,1404,+27
-,Potatosgonnacrushya+428,1310.4413777162492,6,3.0,50.0%,1310,+51
25,KeyserSoze+1044,1308.3679014209981,101,36.0,35.6%,1383,+13
26,0thers1der+5053,1305.8335694051227,17,6.0,35.3%,1322,-8
27,Luclid+298,1304.8622689021608,26,9.0,34.6%,1346,-11
28,PestoEmporium+6690,1304.6230114020282,51,15.0,29.4%,1344,+13
29,FavorOfTheRabbits+9523,1304.5863180398744,20,7.0,35.0%,1305,+30
-,Aeliott+7118,1302.139762755141,7,3.0,42.9%,1319,-21
30,Seiza+6137,1299.8174376604807,47,13.0,27.7%,1321,-13
