Rank,MatchID,Date,Winner,Other Players,ELO_Sum
92,46393,2026-04-08,PlagueCarrier+5718,"TurkeyNoNo+9522, RootiredRooter+4390, Nefkano+8780",4832
93,46334,2026-04-05,KeyserSoze+1044,"TheSillyBilly+6135, Mossfusion+6189, HobGungan+2914",4822
94,46274,2026-04-02,Snivylover12+1064,"Emperia+9282, DemaRogue+7727, MylesMoose+6850",4819
95,46226,2026-04-03,NadtyLite+7330,"Karcher+6280, ZachB+8726, Dumbledore+1135",4816
96,46306,2026-04-04,Emperia+9282,"Dumbledore+1135, Sharkskln+6071, CowOnAPlane+3405",4810
97,46387,2026-04-08,CosmicCant+3836,"Valzaan+3564, RootiredRooter+4390, RangerEpic+3948",4804
98,46256,2026-04-01,Mossfusion+6189,"benssoon+802, Dumbledore+1135, HobGungan+2914",4803
99,46318,2026-04-05,DemaRogue+7727,"pheobii+5175, Temperz87+4696, CowOnAPlane+3405",4793
100,46250,2026-04-01,cliuless+2304,"MylesMoose+6850, mouseinabox+992, NadtyLite+7330",4790
101,46249,2026-04-01,trollone1993+1106,"Whats02+5282, Valzaan+3564, Gabobs+7758",4789
102,46379,2026-04-08,chibimori+1707,"Tolfan, pheobii+5175, Dumbledore+1135",4784
103,46262,2026-04-01,Snivylover12+1064,"Emperia+9282, deejaythink+9834, TonyDeloreanESQ+4756",4783
104,46344,2026-04-06,Tolfan,"CosmicCant+3836, DemaRogue+7727, Dandel+3128",4780
105,46348,2026-04-06,DarthOblivius+1339,"DawnDiVito+5802, radiantchaos+5523, Rabbitwarlord+1983",4734
106,46255,2026-04-01,Mossfusion+6189,"Wriggleroom+4502, Hadjiya+4475, AERotters+5277",4724
107,46273,2026-04-02,lumpyprol+3206,"Dumbledore+1135, buurn+343, Mossfusion+6189",4701
108,46381,2026-04-08,"Banzai7000+1191, HobGungan+2914","MylesMoose+6850, Odinius+897",4677
109,46265,2026-04-02,Valzaan+3564,"cjahwon+6865, Dandel+3128, Tolfan",4667
110,46310,2026-04-04,Valzaan+3564,"cjahwon+6865, Hazelnut19+2913, CowOnAPlane+3405",4661
111,46317,2026-04-05,Valzaan+3564,"KeyserSoze+1044, Banzai7000+1191, cjahwon+6865",4658
112,46301,2026-04-03,Gabobs+7758,"willvitrio+5749, KeyserSoze+1044, Munchking+5998",4657
113,46357,2026-04-07,Bitto+476,"buurn+343, TonyDeloreanESQ+4756, DarthOblivius+1339",4649
114,46336,2026-04-05,DemaRogue+7727,"legrandgrand+9040, cjahwon+6865, Banzai7000+1191",4640
115,46319,2026-04-05,CowOnAPlane+3405,"Gabobs+7758, Banzai7000+1191, Temperz87+4696",4640
116,46311,2026-04-04,radiantchaos+5523,"DawnDiVito+5802, MoxJet+3716, Peppy+6321",4618
117,46271,2026-04-02,idk123+6079,"Dandel+3128, Hurple+6007, CowOnAPlane+3405",4595
118,46266,2026-04-02,Gabobs+7758,"Dandel+3128, mouseinabox+992, DemaRogue+7727",4578
119,46345,2026-04-06,Tolfan,"GuyNXS+7023, buurn+343, cjahwon+6865",4548
120,46288,2026-04-03,Piechu+7320,"Temperz87+4696, Dandel+3128, DGDKami+9860",4546
121,46287,2026-04-03,NaySmith+3702,"Snivylover12+1064, Munchking+5998, Dandel+3128",4531
122,46375,2026-04-08,DemaRogue+7727,"Munchking+5998, cjahwon+6865, Dandel+3128",4453
123,46343,2026-04-06,buurn+343,"cjahwon+6865, ToughHazelnut+1523, CowOnAPlane+3405",4404
