Player,ELO
Munchking+5998,1023
Bengal3+6710,1263
complexartichoke+1699,1305
tofuwater+4853,1482
deejaythink+9834,1222
Banzai7000+1191,1136
Lokfok+5204,1136
micherin+7972,1188
Pi314+6815,1180
PsychologicalBox+5812,1163
IndifferentFish+2547,1186
SSR_Mike+6444,1156
FireFox+7079,1179
Nuttsy+5282,1180
Mossfusion+6189,1304
Julien+5506,1180
chosennuttso,1180
NaySmith+3702,1186
NattyKash+316,1135
GamerTower+410,1185
Zeldamon+7946,1162
Seiza+6137,1352
Gibbs+3656,1176
Actionman2222+4303,1176
Sirius+9323,1205
Intraceptor+5437,1264
Nudraxon+7640,1273
TheSillyBilly+6135,1176
Rachel997,1177
Emperia+9282,1214
Valzaan+3564,1135
ConeMan+3213,1186
Cuagodking+3670,1173
Rabbi+7,1186
SMenefee+4066,1187
HungryJeff+6786,1156
udon66+6395,1225
nikkan+7933,1111
BadScra+3199,1182
oshwott2844+9258,1181
Lynxtek+4186,1183
hauntedpebbles2+8720,1164
BuckeyeNation+0,1175
Ljaz7+6925,1187
Dumbledore+1135,1150
Darkwonderer+1035,1108
Oriol+2638,1262
silverfox+4551,1149
CptAlex+2928,1173
optimusprawn+9866,1157
idk123+6079,1177
aelisheneithlon+4087,1178
CowOnAPlane+3405,1164
Whats02+5282,1179
deriokle+4319,1187
IMPERATOR+2570,1310
