Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
1,Bapgo+7254,1610.850678748416,21,14.0,66.7%,1659,+8
2,Nadav253+6419,1603.9018081593806,20,14.0,70.0%,1624,+8
3,Led_Slash+3579,1597.6426334622547,20,14.0,70.0%,1611,+8
-,doejurko+3088,1560.0046270729397,0,0.0,0.0%,1560,0
-,tofuwater+4853,1532.7945625224777,0,0.0,0.0%,1533,0
4,Killerstorm17+3440,1527.9696983816486,18,10.0,55.6%,1533,+15
5,Antiproject+7236,1524.629522359088,24,16.0,66.7%,1571,+14
-,kaiser+8343,1522.795698751071,1,0.0,0.0%,1535,-15
6,Cookies+3700,1505.371393167838,12,7.0,58.3%,1591,-27
7,time2orush+2871,1481.9491487595124,36,21.0,58.3%,1496,-17
8,kurtfisto+6674,1472.366147332875,50,28.0,56.0%,1508,-15
9,ZachB+8726,1470.4565805950895,19,12.0,63.2%,1513,-16
10,Manpanzee+265,1467.2738405980183,17,9.0,52.9%,1498,+15
11,Jack432+6277,1458.9380343409148,29,12.5,43.1%,1568,-11
12,matemato+5004,1456.8053122001984,13,5.0,38.5%,1515,+37
13,kayajam+9348,1455.3463975875623,32,14.0,43.8%,1528,-7
14,xozzziii+6390,1449.837986614245,42,25.0,59.5%,1507,-11
15,pooge+6189,1439.0991249684178,21,9.0,42.9%,1453,-16
16,Tricholome+4276,1435.4896725997164,51,24.0,47.1%,1501,-5
17,FavorOfTheRabbits+9523,1434.347414263591,19,10.0,52.6%,1455,+14
-,ShuShuBana+2889,1433.9911401703175,0,0.0,0.0%,1434,0
18,BennyJ+6079,1432.8813690039497,18,7.0,38.9%,1468,+20
19,cringelordirl+3838,1425.2343197645284,46,22.0,47.8%,1483,-8
-,Pandapapst+8323,1410.174639181297,6,3.0,50.0%,1461,+38
-,ChippZamoose+906,1406.5913897124308,0,0.0,0.0%,1407,0
20,Ctfox+5431,1406.440207253222,19,9.0,47.4%,1459,-11
21,MagicDream+8297,1401.7271077221571,30,15.0,50.0%,1412,-13
22,GlisteningGeetus+4225,1401.6362291024693,13,8.0,61.5%,1418,+28
-,CWise+6651,1391.5717487189713,8,5.0,62.5%,1392,+29
23,LucianTheFak+3697,1390.5503881978948,21,9.0,42.9%,1436,-15
24,Scipio+8842,1388.059391117054,36,14.0,38.9%,1470,-9
-,Mouseman+7870,1387.653653293666,0,0.0,0.0%,1388,0
-,IMPERATOR+2570,1386.6926749601148,0,0.0,0.0%,1387,0
-,Emperia+9282,1379.5341276365682,0,0.0,0.0%,1380,0
-,Xar149+9374,1374.1991826007404,0,0.0,0.0%,1374,0
25,uFancyHUH+8404,1365.3628959631021,32,11.0,34.4%,1438,-11
-,Luclid+298,1364.4899274612924,1,1.0,100.0%,1364,+39
-,tippop+7531,1364.1645867362288,0,0.0,0.0%,1364,0
26,Aeliott+7118,1362.8875978695567,43,15.5,36.0%,1436,+17
-,Skyr02+9346,1359.8608107666994,3,3.0,100.0%,1360,+45
-,FrancescoBr+4009,1356.3685250739566,0,0.0,0.0%,1356,0
-,Seiza+6137,1355.8476019357151,0,0.0,0.0%,1356,0
-,oshwott2844+9258,1354.1099323473863,3,0.0,0.0%,1425,-21
27,Dumbledore+1135,1348.9076958383516,75,32.0,42.7%,1379,-9
-,Mossfusion+6189,1343.4215655669682,0,0.0,0.0%,1343,0
-,BareGammon+82,1339.4739601902756,0,0.0,0.0%,1339,0
-,Kirien+375,1338.3748737598155,0,0.0,0.0%,1338,0
28,Dramsss+1,1336.88862146621,78,26.0,33.3%,1380,-3
-,mrkent+9273,1336.246732740919,8,3.0,37.5%,1368,-13
29,mishaelh1+6045,1334.1588276661753,21,7.0,33.3%,1403,-10
30,Darkwonderer+1035,1333.5360997057887,11,6.0,54.5%,1334,+37
-,GlandorHooverstein+602,1333.2206612180944,0,0.0,0.0%,1333,0
-,Dekiru+4451,1331.1239158245803,0,0.0,0.0%,1331,0
-,BloodMuffin+4386,1326.5554939141095,1,0.0,0.0%,1349,-24
31,radiantchaos+5523,1323.310833706233,39,15.0,38.5%,1397,+11
32,XpertAcorn+5138,1323.258841079776,40,17.5,43.8%,1346,-8
-,PokerFace126+7192,1320.6894241506664,0,0.0,0.0%,1321,0
-,TimidTailwind+2597,1320.3556593863811,0,0.0,0.0%,1320,0
33,NadtyLite+7330,1319.72367297073,139,39.0,28.1%,1343,+10
-,VanKaiserman+5269,1319.4136737886952,3,0.0,0.0%,1386,-25
-,ninjacat536+1220,1318.8564620688285,0,0.0,0.0%,1319,0
34,uwtron+573,1318.7938575583698,22,9.0,40.9%,1334,-18
-,DibsOnRugarth+8415,1318.6599212381536,9,4.0,44.4%,1369,-26
-,trollone1993+1106,1318.4205000863171,0,0.0,0.0%,1318,0
35,GardenLily+4780,1318.2409010656213,23,9.0,39.1%,1327,+15
36,TurkeyNoNo+9522,1316.3351785799946,36,13.0,36.1%,1324,-4
37,Pliskin+7357,1313.7951550560788,16,3.0,18.8%,1401,-15
38,Tolfan,1313.5825646890928,106,37.0,34.9%,1342,-6
-,Potatosgonnacrushya+428,1312.3914629244396,0,0.0,0.0%,1312,0
-,complexartichoke+1699,1309.8447375715757,0,0.0,0.0%,1310,0
-,Silver+6850,1308.5565150059451,0,0.0,0.0%,1309,0
-,PestoEmporium+6690,1307.3218430910933,9,2.0,22.2%,1363,-9
39,idk123+6079,1305.4475794505247,12,3.0,25.0%,1369,+31
-,0thers1der+5053,1304.5099914200848,0,0.0,0.0%,1305,0
-,vinnie+746,1304.263183913222,0,0.0,0.0%,1304,0
-,Aleph+9548,1302.3346885578164,0,0.0,0.0%,1302,0
-,swiftsusan+8662,1301.689521441261,4,0.0,0.0%,1339,-12
-,Blurr+1887,1300.3076204586037,0,0.0,0.0%,1300,0
-,BusinessPancake+5194,1297.6346311686632,9,4.0,44.4%,1339,+45
-,Gregoola+1424,1297.58019282913,1,0.0,0.0%,1309,-14
40,DemaRogue+7727,1295.6810427151581,22,6.0,27.3%,1381,-8
-,WillRevolt+5749,1294.674180912066,0,0.0,0.0%,1295,0
-,Jalapeno+9238,1292.9446591796225,6,3.0,50.0%,1379,-16
-,Nefkano+8780,1292.9412258326654,1,0.0,0.0%,1299,-9
-,gord20+7161,1292.5702512521073,0,0.0,0.0%,1293,0
41,CowOnAPlane+3405,1291.7416698611155,11,4.0,36.4%,1292,+35
-,dindane+250,1290.2839319180885,0,0.0,0.0%,1290,0
-,MarquiseDeGyatt+202,1287.9944046926544,0,0.0,0.0%,1288,0
-,HobGungan+2914,1286.4622323731064,0,0.0,0.0%,1286,0
-,AxlPrototype+5016,1282.9018445561903,0,0.0,0.0%,1283,0
42,KeyserSoze+1044,1282.4840846073234,20,6.0,30.0%,1342,+24
-,Valzaan+3564,1282.4642163212932,0,0.0,0.0%,1282,0
-,Kmahussier+2186,1279.641758577112,0,0.0,0.0%,1280,0
43,Zero2400+9703,1279.3357309937628,20,8.0,40.0%,1290,-12
-,Schkitz+8222,1278.9527091038,0,0.0,0.0%,1279,0
-,1coolguy+6294,1278.0095392442793,6,1.0,16.7%,1286,-11
-,Nudraxon+7640,1277.1318107194554,0,0.0,0.0%,1277,0
-,bootle+7207,1276.72596369011,0,0.0,0.0%,1277,0
-,saintstonet+7390,1275.543243538142,0,0.0,0.0%,1276,0
-,Mcauthor+181,1274.8315136054348,0,0.0,0.0%,1275,0
44,Waferseeker95+4351,1274.758045733587,43,15.0,34.9%,1338,+16
45,skellen+1863,1274.3813366398135,10,3.0,30.0%,1324,-11
-,NotTheThreat+4569,1273.495808843473,4,2.0,50.0%,1299,-28
-,rooxoo+7785,1268.3629682458036,1,1.0,100.0%,1268,+66
-,Geomorgski,1268.1532243583222,1,1.0,100.0%,1268,+66
-,cliuless+2304,1268.041793742615,0,0.0,0.0%,1268,0
46,Pantuxd+4629,1267.7505963895785,32,9.0,28.1%,1268,+13
-,lazarus210,1266.3486993824315,0,0.0,0.0%,1266,0
-,Cabbage0642+3776,1266.27900896128,0,0.0,0.0%,1266,0
-,Shrek+876,1265.5544912658463,0,0.0,0.0%,1266,0
-,Plush2+8334,1263.5699968439274,0,0.0,0.0%,1264,0
-,ShowStopperW+549,1262.9210746450412,0,0.0,0.0%,1263,0
47,KyloBot+6508,1261.9717773473963,13,4.0,30.8%,1277,-6
-,Nymmer+3243,1260.282894248586,0,0.0,0.0%,1260,0
48,Tad604+8004,1259.3479357025778,35,9.0,25.7%,1346,-9
-,CosmicCant+3836,1258.7911187048112,0,0.0,0.0%,1259,0
-,Journey+8448,1257.6532411911774,1,1.0,100.0%,1258,+55
-,BobFudge+7847,1257.6479468888126,4,2.0,50.0%,1317,-26
-,Mindger+7576,1257.564859579064,0,0.0,0.0%,1258,0
-,BaconBoy+9689,1256.9790214627244,7,3.0,42.9%,1354,-34
-,Gabobs+7758,1255.7647643585854,0,0.0,0.0%,1256,0
-,MrDrouf+3826,1255.3873376066929,0,0.0,0.0%,1255,0
-,chibimori+1707,1254.8902445752406,0,0.0,0.0%,1255,0
-,aelisheneithlon+4087,1253.593350503981,0,0.0,0.0%,1254,0
49,AcolyteOfRoot+4294,1253.5229537544192,36,9.0,25.0%,1280,+17
-,Jasiuńcio+3892,1253.3398085713293,0,0.0,0.0%,1253,0
-,pizzamagican+4983,1252.34704635551,0,0.0,0.0%,1252,0
-,Vagabond Glazer+6268,1249.3816946047878,0,0.0,0.0%,1249,0
-,fartinmartin+7084,1246.8699088239355,2,1.0,50.0%,1260,-16
-,pwarren8590+4047,1245.6495235516177,0,0.0,0.0%,1246,0
50,deejaythink+9834,1244.1358876744675,14,4.0,28.6%,1305,-19
-,ToasterTrash+8502,1243.706926251129,0,0.0,0.0%,1244,0
-,KarmaBurn+1193,1243.3661857525458,0,0.0,0.0%,1243,0
-,Rabbitwarlord+1983,1243.1797848018753,2,0.0,0.0%,1267,-16
-,Wubba+9310,1242.7574377103656,0,0.0,0.0%,1243,0
51,Youdge+8117,1242.69537498581,12,3.0,25.0%,1276,+39
52,DarthPuniceus+9605,1242.490637818379,14,2.0,14.3%,1334,-5
-,DirtDDog+2853,1242.1165483791415,2,1.0,50.0%,1266,-26
-,merelymyself+4235,1241.8060023090322,7,2.0,28.6%,1258,-18
-,superIDEN+4876,1240.8243984932874,2,1.0,50.0%,1241,+53
-,Sebby+9924,1240.1441128664185,8,3.0,37.5%,1268,-14
