Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,hakoo,1225.1032019332486,3,1.0,33.3%,1262,-12
-,BuliBaka+6658,1222.4445450999328,4,1.0,25.0%,1229,-11
-,TAKSpx+9156,1222.2774115561845,6,2.0,33.3%,1267,-22
51,cringelordirl+3838,1222.1309002949074,43,9.0,20.9%,1247,-4
-,Mcauthor+181,1221.9403510997624,4,1.0,25.0%,1241,-11
52,TheDolphinman+2630,1221.5897131574463,25,6.0,24.0%,1258,-13
53,NadtyLite+7330,1221.3706613420932,167,37.0,22.2%,1280,-3
54,AERotters+5277,1221.0052057734947,78,20.0,25.6%,1316,+14
55,uwtron+573,1220.8569298522611,19,5.0,26.3%,1294,-11
56,Perdita+9449,1220.5844681398128,24,7.0,29.2%,1301,+33
-,Acecreamsundae+1472,1220.2273224984028,3,1.0,33.3%,1240,-25
-,GlisteningGeetus+4225,1220.1304694614873,5,2.0,40.0%,1311,-31
-,Sjepeal+9206,1219.671666842019,4,1.0,25.0%,1220,+62
57,DemaRogue+7727,1219.216949610975,68,19.0,27.9%,1288,-5
58,Snivylover12+1064,1218.7093705879424,15,3.5,23.3%,1274,-17
59,radiantchaos+5523,1218.303429090577,32,8.0,25.0%,1249,+25
60,ImJustExisting+9170,1214.701582888419,17,4.5,26.5%,1286,-9
-,Oriol+2638,1213.8796979229962,4,1.0,25.0%,1262,-14
-,Bodnamax+6783,1213.6471540650336,4,1.0,25.0%,1214,+66
61,KuperMeister+8518,1211.1377151832705,11,3.0,27.3%,1253,-8
62,Ptitmxz+6986,1210.0319536171996,24,6.0,25.0%,1314,-7
-,Sirius+9323,1209.753756998749,7,2.0,28.6%,1233,+68
-,BjarkeHuse+2923,1208.9135993605641,6,2.0,33.3%,1307,-14
63,Nymmer+3243,1208.3775219125164,10,2.0,20.0%,1243,-24
-,Awesem+1966,1206.4918032469234,4,1.0,25.0%,1239,-14
-,CowOnAPlane+3405,1204.869022818198,7,1.0,14.3%,1205,+72
64,deejaythink+9834,1203.7817000169634,10,2.0,20.0%,1239,-11
-,Karcher+6280,1203.651564932353,4,1.0,25.0%,1250,-26
-,BMPerJMPer+9145,1198.1479699160177,32,8.0,25.0%,1428,-3
-,idk123+6079,1196.8640110547035,5,1.0,20.0%,1211,-19
-,alevGO+2990,1196.3098139534561,13,2.0,15.4%,1251,-6
-,sda1611+3493,1194.395669622978,1,0.0,0.0%,1200,-10
-,XxD4RK_W0LFxX+9534,1193.0249390213332,1,0.0,0.0%,1200,-11
-,Axolatal,1192.4116560015293,1,0.0,0.0%,1200,-12
